ID,age,value
2.1.22.2,<5,1146
2.1.22.2,5-14,2167
2.1.22.2,15-49,8995
2.1.22.2,50-69,7710
2.1.22.2,70+,3963
2.1.22.3,<5,0
2.1.22.3,5-14,7
2.1.22.3,15-49,795
2.1.22.3,50-69,3282
2.1.22.3,70+,1791
2.1.23,<5,1172
2.1.23,5-14,1897
2.1.23,15-49,5400
2.1.23,50-69,5423
2.1.23,70+,3486
2.1.24,<5,3300
2.1.24,5-14,4757
2.1.24,15-49,36652
2.1.24,50-69,30340
2.1.24,70+,14453
2.2.1,<5,1457
2.2.1,5-14,514
2.2.1,15-49,486
2.2.1,50-69,187
2.2.1,70+,12
2.2.2,<5,6156
2.2.2,5-14,10249
2.2.2,15-49,11820
2.2.2,50-69,1295
2.2.2,70+,9
2.2.3,<5,1007
2.2.3,5-14,1313
2.2.3,15-49,1806
2.2.3,50-69,3715
2.2.3,70+,3986
2.2.4,<5,2186
2.2.4,5-14,1015
2.2.4,15-49,7410
2.2.4,50-69,6879
2.2.4,70+,3474
2.3.1,<5,0
2.3.1,5-14,0
2.3.1,15-49,0
2.3.1,50-69,0
2.3.1,70+,1
2.3.2,<5,0
2.3.2,5-14,0
2.3.2,15-49,1
2.3.2,50-69,0
2.3.2,70+,2
2.3.3,<5,0
2.3.3,5-14,0
2.3.3,15-49,5159
2.3.3,50-69,4592
2.3.3,70+,1372
2.3.4.1,<5,0
2.3.4.1,5-14,0
2.3.4.1,15-49,2874
2.3.4.1,50-69,387
2.3.4.1,70+,246
2.3.4.2,<5,0
2.3.4.2,5-14,0
2.3.4.2,15-49,219
2.3.4.2,50-69,54
2.3.4.2,70+,18
2.3.4.3,<5,0
2.3.4.3,5-14,0
2.3.4.3,15-49,102
2.3.4.3,50-69,22
2.3.4.3,70+,4
2.3.4.4,<5,0
2.3.4.4,5-14,0
2.3.4.4,15-49,332
2.3.4.4,50-69,55
2.3.4.4,70+,31
2.3.5,<5,0
2.3.5,5-14,0
2.3.5,15-49,0
2.3.5,50-69,0
2.3.5,70+,0
2.4.1,<5,0
2.4.1,5-14,0
2.4.1,15-49,197
2.4.1,50-69,10706
2.4.1,70+,52974
2.4.2,<5,0
2.4.2,5-14,0
2.4.2,15-49,286
2.4.2,50-69,2312
2.4.2,70+,12154
2.4.3,<5,2693
2.4.3,5-14,4459
2.4.3,15-49,22517
2.4.3,50-69,6741
2.4.3,70+,4148
2.4.4,<5,0
2.4.4,5-14,2
2.4.4,15-49,347
2.4.4,50-69,102
2.4.4,70+,32
2.4.5,<5,291
2.4.5,5-14,3449
2.4.5,15-49,3004
2.4.5,50-69,1165
2.4.5,70+,224
2.5.1,<5,436
2.5.1,5-14,1208
2.5.1,15-49,4613
2.5.1,50-69,6254
2.5.1,70+,4304
2.5.2,<5,0
2.5.2,5-14,0
2.5.2,15-49,15662
2.5.2,50-69,60723
2.5.2,70+,90515
2.5.3,<5,0
2.5.3,5-14,0
2.5.3,15-49,44830
2.5.3,50-69,158950
2.5.3,70+,208127
2.5.4.1,<5,585
2.5.4.1,5-14,550
2.5.4.1,15-49,6713
2.5.4.1,50-69,50848
2.5.4.1,70+,147632
2.5.4.2,<5,2420
2.5.4.2,5-14,3046
2.5.4.2,15-49,47527
2.5.4.2,50-69,154679
2.5.4.2,70+,113630
2.5.5,<5,3376
2.5.5,5-14,2913
2.5.5,15-49,13584
2.5.5,50-69,18245
2.5.5,70+,13596
2.5.6,<5,2149
2.5.6,5-14,2439
2.5.6,15-49,9622
2.5.6,50-69,18068
2.5.6,70+,30349
2.6.1,<5,0
2.6.1,5-14,0
2.6.1,15-49,7952
2.6.1,50-69,41015
2.6.1,70+,61958
2.6.2,<5,2192
2.6.2,5-14,2677
2.6.2,15-49,14381
2.6.2,50-69,20354
2.6.2,70+,17755
2.6.3,<5,2390
2.6.3,5-14,1019
2.6.3,15-49,3288
2.6.3,50-69,4596
2.6.3,70+,3848
2.7.1,<5,265
2.7.1,5-14,1056
2.7.1,15-49,8023
2.7.1,50-69,12172
2.7.1,70+,10360
2.7.2.1,<5,55
2.7.2.1,5-14,467
2.7.2.1,15-49,25934
2.7.2.1,50-69,32708
2.7.2.1,70+,14881
2.7.2.2,<5,15
2.7.2.2,5-14,114
2.7.2.2,15-49,11404
2.7.2.2,50-69,13169
2.7.2.2,70+,5907
2.7.2.3,<5,0
2.7.2.3,5-14,0
2.7.2.3,15-49,11170
2.7.2.3,50-69,25828
2.7.2.3,70+,8595
2.7.2.4,<5,2436
2.7.2.4,5-14,5837
2.7.2.4,15-49,14468
2.7.2.4,50-69,12406
2.7.2.4,70+,8948
2.7.3,<5,319
2.7.3,5-14,913
2.7.3,15-49,1188
2.7.3,50-69,790
2.7.3,70+,610
2.7.4,<5,176
2.7.4,5-14,413
2.7.4,15-49,4009
2.7.4,50-69,3317
2.7.4,70+,2579
2.7.5,<5,3059
2.7.5,5-14,2968
2.7.5,15-49,11343
2.7.5,50-69,13930
2.7.5,70+,10426
2.7.6,<5,57
2.7.6,5-14,90
2.7.6,15-49,1706
2.7.6,50-69,849
2.7.6,70+,756
2.7.7,<5,36
2.7.7,5-14,763
2.7.7,15-49,1924
2.7.7,50-69,4353
2.7.7,70+,5705
2.7.8,<5,14
2.7.8,5-14,66
2.7.8,15-49,6563
2.7.8,50-69,4201
2.7.8,70+,2071
2.7.9,<5,2519
2.7.9,5-14,1559
2.7.9,15-49,4010
2.7.9,50-69,6325
2.7.9,70+,7476
2.8.1.1,<5,77
2.8.1.1,5-14,213
2.8.1.1,15-49,242
2.8.1.1,50-69,224
2.8.1.1,70+,197
2.8.1.2,<5,16
2.8.1.2,5-14,60
2.8.1.2,15-49,5700
2.8.1.2,50-69,17283
2.8.1.2,70+,19004
2.8.1.3,<5,2930
2.8.1.3,5-14,6187
2.8.1.3,15-49,31684
2.8.1.3,50-69,43539
2.8.1.3,70+,53394
2.8.2,<5,0
2.8.2,5-14,0
2.8.2,15-49,0
2.8.2,50-69,0
2.8.2,70+,1
2.8.3,<5,21
2.8.3,5-14,16
2.8.3,15-49,151
2.8.3,50-69,401
2.8.3,70+,259
2.8.4,<5,1482
2.8.4,5-14,869
2.8.4,15-49,7805
2.8.4,50-69,11604
2.8.4,70+,12795
2.8.5,<5,0
2.8.5,5-14,39
2.8.5,15-49,1454
2.8.5,50-69,441
2.8.5,70+,129
2.9.1,<5,0
2.9.1,5-14,3
2.9.1,15-49,113
2.9.1,50-69,244
2.9.1,70+,214
2.9.2,<5,0
2.9.2,5-14,0
2.9.2,15-49,0
2.9.2,50-69,0
2.9.2,70+,1
2.9.3,<5,0
2.9.3,5-14,0
2.9.3,15-49,1
2.9.3,50-69,0
2.9.3,70+,0
2.9.4,<5,0
2.9.4,5-14,0
2.9.4,15-49,0
2.9.4,50-69,0
2.9.4,70+,1
2.9.5,<5,162
2.9.5,5-14,427
2.9.5,15-49,2326
2.9.5,50-69,1150
2.9.5,70+,1198
2.10.1,<5,20635
2.10.1,5-14,2563
2.10.1,15-49,607
2.10.1,50-69,111
2.10.1,70+,0
2.10.2,<5,395
2.10.2,5-14,0
2.10.2,15-49,0
2.10.2,50-69,0
2.10.2,70+,0
2.10.3,<5,4968
2.10.3,5-14,1403
2.10.3,15-49,934
2.10.3,50-69,724
2.10.3,70+,0
2.10.4,<5,33817
2.10.4,5-14,11638
2.10.4,15-49,3618
2.10.4,50-69,504
2.10.4,70+,0
2.10.5,<5,5738
2.10.5,5-14,471
2.10.5,15-49,349
2.10.5,50-69,80
2.10.5,70+,0
2.10.6,<5,39897
2.10.6,5-14,7495
2.10.6,15-49,1991
2.10.6,50-69,655
2.10.6,70+,0
3.1.1,<5,21195
3.1.1,5-14,35806
3.1.1,15-49,104979
3.1.1,50-69,46488
3.1.1,70+,20800
3.1.2,<5,4957
3.1.2,5-14,2110
3.1.2,15-49,3334
3.1.2,50-69,2724
3.1.2,70+,1234
3.1.3,<5,3747
3.1.3,5-14,8003
3.1.3,15-49,9954
3.1.3,50-69,13745
3.1.3,70+,20979
3.1.4,<5,13144
3.1.4,5-14,6291
3.1.4,15-49,9970
3.1.4,50-69,6804
3.1.4,70+,5618
3.1.5,<5,24154
